Num,Country,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,S
10,Hungary,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,1
22,Poland,0,0.48,0.05,1.26,0.06,0.01,1.07,0.19,0.52,0.01,0.06,0.06,0.05,0.02,2.07,0.02,0.06,0.01,0.03,0.46,0.01,3.84,0.06,6.24,2.27,0.02,0.95,0.37,0,0.19,0.73,0.81,0,0.57,0.05,0.23,1.15,0.03,0.17,0.49,0.19,0.68,1.06,84608.01,0.01,0.57,8.84,1.71,0.99,0.24,0.15,m,m,0,0,0,0,0,0,0,0,0,0.01,0,0,778.57,36185.28,13025.38,46432.76,402.45,526.91,1.08,1.07,1.02,1.03,1.42,1.63,1.04,1.07,1.08,m,0.98,1
27,Hungary,0.01,0.74,0.01,1.04,0,0.01,0.35,0.27,0.26,0.02,0.04,0.05,-0.9,0.02,1.35,0.02,0.05,0.02,0.04,0.26,0.01,-9.07,0.02,5.9,2.53,0.06,-0.05,-0.02,0,0,0.73,0.69,0,0.39,0.06,2.06,1.02,0.04,0.14,0.43,0.31,0.38,1.02,9444.77,0.04,1.65,57.9,1.38,0.87,0.4,-0.55,m,m,0,0,0,0,0,m,0,0,m,m,m,m,0,0,0,0,0,0,1.22,1.5,1.23,1.14,1.5,2.2,1,1.26,0.99,m,m,1
73,Poland,0.01,0.49,0.17,1.4,0.26,0.01,1.02,0.31,0.51,0.01,0.02,0.03,0.03,0.02,2.02,0.02,0.03,0.01,0.02,0.25,0.01,6.38,0.42,5.03,1.22,0.02,0.75,0.64,0,0.33,6.73,0.58,0,0.27,0.03,0.06,1.15,0.01,0.05,1.2,0.42,1.24,1.42,18112.76,0.01,0.14,2.92,0.84,0.74,0.77,0.2,m,m,0,0,0,0,0,0,0,0,0,0,0,0,1049.76,53004.14,35670.93,63050.47,530.51,1300.74,1.75,1.56,1.15,1.28,-0.54,-0.35,1.01,1.29,1.39,m,-1.08,1
74,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,Poland,0.01,0.63,0.16,1.26,0,0.02,0.58,0.95,0.37,0.02,0.03,0.02,0.02,0.03,1.58,0.02,0.02,0.01,0.01,0.37,0.02,3.43,0.65,4.17,0.66,0.04,1.56,1.49,0.12,0.96,23.81,0.4,0.12,0.15,0.01,0.31,1.21,0,0,1.2,0.6,1.52,1.65,2317,0.03,0.08,29.87,1.49,1.58,3.97,0.13,-0.31,0,-0.03,-0.03,-0.05,-1.04,-0.05,0.56,-0.04,-2.22,0,0,0,0,817.2,15528.58,m,20960.21,298.99,1243.42,1.09,1.09,1.03,1.03,1.94,4.26,1.1,1.13,1.01,1.82,15.87,1
142,'Czech Republic',m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,1
175,Poland,0.01,0.5,0.11,1.33,0.04,0.01,0.99,0.42,0.5,0.01,0.03,0.03,0.01,0.02,1.99,0.01,0.03,0.01,0.01,0.46,0.01,3.46,0.19,4.33,1.2,0.01,1.36,0.88,0.42,0.45,1.84,0.68,1,0.04,0.01,0.05,1.01,0.03,0.06,0.86,0.32,0.88,1.19,2272,0.01,0.36,4.01,1.33,1.29,0.74,0.01,11.78,0,0,0,0,0,0,-7.87,0,0.08,0,0,0,0,959.54,45559.32,17719.63,76925.15,477.38,839.74,1.18,1.22,0.95,0.84,0.41,0.62,0.99,0.79,0.76,0.06,0.04,1
217,Poland,0.01,0.57,0.22,1.9,0.03,0.03,0.76,0.25,0.43,0.02,0.11,0.11,0.09,0.05,1.76,0.04,0.11,0.02,0.05,0.41,0.02,4.32,0.41,4.84,2.1,0.05,0.95,0.41,0,0.26,1.45,0.75,0,1,0.09,4.45,1.89,0.03,0.13,0.82,0.25,0.81,1.41,15192.64,0.03,0.74,83.51,1.14,1.01,0.47,0.95,m,m,0,0,0,0,0,0,0,0,0,0,0,0,1144.07,18397.99,15081.13,21796.37,495.55,929.86,1.14,1.15,1.33,1.74,1.39,1.27,0.69,1.08,1.05,m,-0.28,1
257,Hungary,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,1
