Num,Country,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,S
10,Hungary,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,1
22,Poland,0.05,0.59,-0.02,0.89,0.03,0.01,0.7,0.13,0.41,0,0.03,0.05,0.03,0.01,1.7,0.01,0.05,0,0.35,0.38,0.08,2.15,-0.02,6.3,4.04,0.01,0.77,0.24,0,0.14,0.35,0.82,0,0.36,0.03,2.26,0.78,-0.02,-0.16,0.28,0.18,0.49,0.97,-39526.1,0.11,0.99,6.46,1.77,0.73,0.16,-0.29,-9265200,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,165.89,10937.48,-3260.96,16013.84,68.26,81.29,1.17,1.1,1.02,1.01,-0.46,-4.95,1.14,1.05,0.44,-1999112051,0.62,1
27,Hungary,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,1
73,Poland,0,0.72,0.06,1.1,0.1,0,0.4,0.43,0.28,0.01,0.01,0.03,0.01,0.02,1.4,0.01,0.01,0.01,0.01,0.18,0.01,-7.32,0.19,5.14,1.59,0.02,0.69,0.6,0,0.43,6.37,0.38,0,0.09,0.01,0.06,0.99,0.01,0.03,0.95,0.62,0.87,1.17,8492.94,0.01,0.34,6.64,0.76,0.69,1.31,-0.01,-0.16,-0.27,-0.02,-0.05,-0.03,-0.24,-0.04,5.04,-0.03,-4.51,0,0,0,0,562.87,32858.02,14141.94,31441.05,160.18,490.97,1.06,-93.44,1.11,1.16,1.12,1.18,0.98,1.26,1.15,-0.48,-0.13,1
74,Poland,0,0.82,-0.21,0.48,0.01,0.02,0.47,0.13,0.38,0.01,0.05,0.27,0.09,0.04,1.22,0.02,0.17,0.01,0.02,0.37,0.02,1.14,-0.25,5.63,6.08,0.03,0.33,0.16,0,0.15,0.48,0.79,0,0.26,0.1,1.19,0.48,0.03,0.2,0.24,0.41,0.45,0.94,-90277.82,0.01,1.07,60.79,1.48,0.32,0.15,-1.91,-41.71,-224.44,0,0,0,0,0,-0.03,0,0,0,0,0,0,103.1,1810.83,1499.8,3148.28,39.38,46.8,0.59,1.01,0.89,1.78,-1.33,-0.09,0.89,1.07,0.94,0,-18.97,1
100,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,Poland,0.03,0.66,0.15,1.26,0.05,0.04,0.53,0.81,0.34,0.04,0.07,0.06,0.05,0.07,1.53,0.06,0.05,0.04,0.04,0.29,0.06,-22.99,0.61,4.3,0.8,0.12,1.31,1.18,0.81,0.82,10.89,0.41,1,0.28,0.05,0.45,1.15,0.05,0.06,1.14,0.59,1.36,1.61,3046,0.09,0.18,12.07,1.59,1.37,3.21,0.11,-0.76,-0.16,-0.04,-0.05,-0.06,-0.65,-0.07,1.68,-0.05,-1,0,0,0,0,1250.96,11159.41,9197.75,10673.97,431.35,1701.25,1.19,1.16,1.11,1.15,2.49,2.72,1.9,1.19,1.15,-4.14,-0.35,1
142,'Czech Republic',m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,1
175,Poland,0.02,0.54,0.11,1.39,0.04,0.03,0.85,0.47,0.45,0.03,0.1,0.06,0.07,0.05,1.87,0.05,0.06,0.03,0.04,0.41,0.04,-26.31,0.19,4.4,1.15,0.06,1.52,0.83,0.47,0.47,1.27,0.7,1,0.09,0.06,0.2,1.06,0.05,0.11,0.76,0.29,0.76,1.17,2875,0.04,0.54,4.77,1.64,1.59,0.78,0.04,m,m,0,0,0,0,0,m,0,0,0,0,0,0,726.69,11684.49,6591.62,11282.73,329.25,554.99,1.24,1.29,1.07,1.15,0.86,0.87,1.06,1.16,0.89,m,m,1
217,Poland,0.02,0.54,0.2,1.84,0.04,0.02,0.85,0.23,0.46,0.02,0.09,0.19,0.12,0.08,1.85,0.05,0.09,0.02,0.07,0.42,0.07,-8.97,0.35,4.86,1.44,0.05,0.89,0.38,0,0.23,1.4,0.77,0,0.95,0.11,3.68,1.82,0.05,0.21,0.8,0.23,0.81,1.35,14488.85,0.04,0.67,51.7,1.12,0.98,0.4,1.03,0.9,1.31,0.02,0.08,0.03,0.06,0.08,1.92,0.04,0.73,0,0,0,0,496.78,11129.31,4701.89,9210.9,227.82,401.43,1.21,1.2,1.03,1.05,1.18,0.94,0.82,1.09,1.04,0.54,0.84,1
